fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
315;VD;512170;B;512170B;512438;170503;06.04.2020;Pieracci;WKMIV839_14_53;Wc;WY;Wmt;Wc31;Jura;1186;0.00;0.69;625;Tannen-Buchenwald;Wald;499.4291212;
316;VD;518154;C;518154C;518547;154867;01.02.2020;Vallotton;WKMIV633_12_40;Wc;WY;Wmt;Wc32;Plateau;697;0.01;0.99;62;Buchenwälder;Wald;143.5520298;
317;VD;527158;C;527158C;527659;158900;19.02.2020;Biancaniello;WKMIV668_17_58;Wc;WY;Wmt;Wc65;Plateau;490;0.07;0.12;62;Buchenwälder;Wald;11.37378091;
318;VD;527158;D;527158D;527739;158892;17.03.2020;Biancaniello;WKMIV756_13_18;Wc;WY;Wmt;Wc34;Plateau;490;0.07;0.12;62;Buchenwälder;Wald;10.60665762;
319;VD;527158;D;527158D;527739;158892;03.04.2020;Pieracci;WKMIV838_14_48;Wc;Unclear;Wmt;;Plateau;490;0.07;0.12;62;Buchenwälder;Wald;10.60665762;
320;VD;545182;C;545182C;545256;182841;03.01.2020;Henrioux/Terranova;WKMIV519_10_27;Wc;F_orUnknown;Wmt;Wc03;Plateau;460;0.03;0.13;62;Buchenwälder;Wald;6.264012396;
321;VD;545182;C;545182C;545256;182841;31.01.2020;Henrioux/Terranova;WKMIV609_12_10;Wc;WY;Wmt;Wc35;Plateau;460;0.03;0.13;62;Buchenwälder;Wald;6.264012396;
322;VD;545182;C;545182C;545256;182841;14.02.2020;Henrioux/Terranova;WKMIV659_15_31;Wc;F_orUnknown;Wmt;Wc03;Plateau;460;0.03;0.13;62;Buchenwälder;Wald;6.264012396;
323;VD;545182;C;545182C;545256;182841;13.03.2020;Henrioux/Terranova;WKMIV745_13_7;Wc;F_orUnknown;Wmt;Wc03;Plateau;460;0.03;0.13;62;Buchenwälder;Wald;6.264012396;
324;ZH;686266;A;686266A;686154;266601;31.03.2019;Schï¿½r;WKMIII378_6_49;Dc;F_orUnknown;Dmt;Dc19;Plateau;580;0.01;0.95;62;Buchenwälder;Wald;255.7000297;
325;ZH;689262;A;689262A;689733;262286;17.03.2019;Schï¿½r;WKMIII319_4_3;Dc;DY;Dmt;Dc85;Plateau;556;0.01;0.80;12;Fliessgewässer (z.?B. Bäche, Flüsse);Wald;137.9345505;
326;ZH;671254;A;671254A;671520;254235;27.02.2020;Schï¿½r;WKMIV731_16_70;Dc;DY;Dmt;DcSec27;Plateau;503;0.04;0.69;621;Orchideen-Buchenwald;Wald;63.06468675;
327;AG;629270;A;629270A;629474;270150;2018/19;;WKMIII;;;;;Plateau;292;0.05;0.76;623;Waldmeister-Buchenwald;Wald;211.0371652;
328;AG;629270;B;629270B;629126;270531;2018/19;;WKMIII;;;;;Plateau;292;0.05;0.76;62;Buchenwälder;Wald;212.235373;
329;AG;629270;C;629270C;629200;270156;2018/19;;WKMIII;;;;;Plateau;292;0.05;0.76;62;Buchenwälder;Wald;425.5841471;
330;AG;642251;A;642251A;642144;251846;2018/19;;WKMIII;;;;;Jura;531;0.17;0.45;623;Waldmeister-Buchenwald;Wald;114.2290654;
331;AG;642251;B;642251B;642498;251827;2018/19;;WKMIII;;;;;Jura;531;0.17;0.45;621;Orchideen-Buchenwald;Wald;86.09804928;
332;AG;644250;B;644250B;644671;250887;2018/19;;WKMIII;;;;;Jura;483;0.01;0.88;624;Zahnwurz-Buchenwald;Wald;342.5156056;
333;AG;644258;B;644258B;644853;258455;2018/19;;WKMIII;;;;;Jura;518;0.06;0.33;62;Buchenwälder;Wald;70.47660473;
334;AG;644258;C;644258C;644565;258892;2018/19;;WKMIII;;;;;Jura;518;0.06;0.33;624;Zahnwurz-Buchenwald;Wald;28.41687767;
335;AG;647238;B;647238B;647175;238156;2018/19;;WKMIII;;;;;Plateau;532;0.04;0.32;622;Hainsimsen-Buchenwald;Wald;62.99292295;
336;AG;647254;A;647254A;647831;254536;2018/19;;WKMIII;;;;;Jura;661;0.05;0.47;621;Orchideen-Buchenwald;Wald;71.4244045;
